varcomp,Var,SE,pval,net,trait
h2r,0.4392806983643106,0.05635090265,3.5503353e-14,Auditory,lh_Auditory_sa
h2r,0.4503755354485751,0.05442698915,4.7425652e-15,DorsalAttentionA,lh_DorsalAttentionA_sa
h2r,0.2731295577478656,0.06028769958,2e-6,ControlA,lh_ControlA_sa
h2r,0.3083401565647037,0.0621493616,2e-7,SomatomotorA,lh_SomatomotorA_sa
h2r,0.3057041056965168,0.05748373939,4.4458339e-8,VentralAttentionB,lh_VentralAttentionB_sa
h2r,0.26480509496399,0.05917477292,2e-6,DefaultB,lh_DefaultB_sa
h2r,0.3207104873488151,0.05707804706,2.1271732e-8,DefaultC,lh_DefaultC_sa
h2r,0.3234555213732264,0.06153288949,1e-7,VisualC,lh_VisualC_sa
h2r,0.4753424749440968,0.05424791523,3.2326055e-16,VisualA,lh_VisualA_sa
h2r,0.2752419457763554,0.06149386246,3.2e-6,DorsalAttentionB,lh_DorsalAttentionB_sa
h2r,0.2635435216071904,0.06006717989,4.3e-6,TemporalParietal,lh_TemporalParietal_sa
h2r,0.3691799294178164,0.05669667922,3.3338027e-11,ControlB,lh_ControlB_sa
h2r,0.5343131424816063,0.05674530068,3.6716869e-16,VisualB,lh_VisualB_sa
h2r,0.4586041207380636,0.05088775679,8.798598e-17,ControlC,lh_ControlC_sa
h2r,0.4643154760557979,0.05869413858,1.1851845e-13,DefaultA,lh_DefaultA_sa
h2r,0.3131366020832186,0.0621385194,3e-7,VentralAttentionA,lh_VentralAttentionA_sa
h2r,0.3204221081896154,0.06339450093,2e-7,SomatomotorB,lh_SomatomotorB_sa
h2r,0.595636875859075,0.04982157692,7.8660695e-23,Auditory,rh_Auditory_sa
h2r,0.3997555081007264,0.05666073683,2.7158841e-12,DorsalAttentionA,rh_DorsalAttentionA_sa
h2r,0.2289302516440842,0.05864617973,3.11e-5,ControlA,rh_ControlA_sa
h2r,0.3826362263271307,0.05937333362,7.405146e-11,SomatomotorA,rh_SomatomotorA_sa
h2r,0.3536404251339731,0.05882767599,1.4155902e-9,VentralAttentionB,rh_VentralAttentionB_sa
h2r,0.3314516508481221,0.05969723422,1.9986753e-8,DefaultB,rh_DefaultB_sa
h2r,0.3096930257566181,0.05964847461,1e-7,DefaultC,rh_DefaultC_sa
h2r,0.3660535163352395,0.05855819363,2.731981e-10,VisualC,rh_VisualC_sa
h2r,0.3585731285691416,0.05887669533,2.8982825e-10,VisualA,rh_VisualA_sa
h2r,0.2382133616157935,0.06833970465,2.057e-4,DorsalAttentionB,rh_DorsalAttentionB_sa
h2r,0.2983834614640642,0.07042258438,7.5e-6,TemporalParietal,rh_TemporalParietal_sa
h2r,0.3372385753141559,0.05949460884,9.180238e-9,ControlB,rh_ControlB_sa
h2r,0.4540238519510791,0.06065011444,1.1845479e-12,VisualB,rh_VisualB_sa
h2r,0.324236545964287,0.05345972322,9.6858325e-10,ControlC,rh_ControlC_sa
h2r,0.4209434478791633,0.06328734332,9.201576e-11,DefaultA,rh_DefaultA_sa
h2r,0.3872547393490641,0.06419605307,2.238626e-9,VentralAttentionA,rh_VentralAttentionA_sa
h2r,0.2871618752406724,0.06775395348,8.7e-6,SomatomotorB,rh_SomatomotorB_sa
